listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
44054,2019-11-23,t,$846.00,$846.00,1.0,365.0
44054,2019-12-21,t,$839.00,$839.00,1.0,365.0
100213,2019-12-21,f,$1320.00,$1320.00,1.0,30.0
100213,2019-09-16,f,$1200.00,$1200.00,1.0,30.0
128496,2019-08-14,f,$389.00,$389.00,3.0,365.0
128496,2020-01-02,f,$389.00,$389.00,3.0,365.0
161902,2019-11-28,t,$376.00,$376.00,1.0,365.0
161902,2019-08-23,t,$470.00,$470.00,1.0,365.0
162144,2020-04-11,t,$537.00,$537.00,1.0,365.0
162144,2019-09-29,t,$537.00,$537.00,1.0,365.0
279078,2020-01-26,t,$400.00,$400.00,1.0,365.0
279078,2019-04-21,f,$400.00,$400.00,1.0,365.0
282825,2020-04-04,f,$637.00,$637.00,3.0,90.0
282825,2019-09-06,t,$738.00,$738.00,3.0,90.0
287026,2019-12-20,f,$418.00,$418.00,1.0,365.0
287026,2019-04-22,f,$418.00,$418.00,1.0,365.0
287511,2020-03-14,f,$415.00,$415.00,1.0,365.0
287511,2019-07-10,f,$415.00,$415.00,1.0,365.0
314453,2020-04-12,t,$395.00,$395.00,1.0,1125.0
314453,2019-12-24,t,$395.00,$395.00,1.0,1125.0
317195,2020-04-14,t,$548.00,$548.00,1.0,1125.0
317195,2019-12-01,t,$548.00,$548.00,1.0,1125.0
322292,2019-05-06,t,$479.00,$479.00,1.0,1125.0
322292,2019-07-31,t,$479.00,$465.00,1.0,1125.0
398784,2019-09-09,t,$859.00,$859.00,1.0,365.0
398784,2019-09-17,t,$859.00,$859.00,1.0,365.0
445306,2019-11-15,t,$966.00,$966.00,1.0,1825.0
445306,2019-08-25,t,$839.00,$839.00,1.0,1825.0
456641,2019-10-08,f,$439.00,$430.00,1.0,1125.0
456641,2019-06-15,f,$439.00,$430.00,1.0,1125.0
458561,2020-02-23,t,$480.00,$480.00,1.0,1125.0
458561,2019-09-11,t,$480.00,$480.00,1.0,1125.0
491280,2019-12-09,t,$376.00,$376.00,1.0,1125.0
491280,2020-03-08,t,$376.00,$376.00,1.0,1125.0
498126,2019-08-13,f,$418.00,$418.00,2.0,1125.0
