id,name,host_id,host_name,room_type,price,minimum_nights,availability_365
44054,Modern and Comfortable Living in CBD,192875,East Apartments,Entire home/apt,792,1,341
100213,The Great Wall Box Deluxe Suite A Group Garden Great Wall Cloth,527062,Joe,Private room,1201,1,0
128496,Heart of Beijing  House with View 2,467520,Cindy,Entire home/apt,389,3,93
161902,cozy studio in center of Beijing,707535,Robert,Entire home/apt,376,1,290
162144,"nice studio near subway, sleep 4 ",707535,Robert,Entire home/apt,537,1,352
279078,Nice Apartment in Beijing,1455726,Fiona,Entire home/apt,403,1,353
282825,Large 2 BR Apt in a great location,1466681,Florence,Entire home/apt,637,3,78
287026,Studio in downtown Beijing  2,1456491,Stay,Entire home/apt,416,1,106
287511,High flr studio in downtown Beijing,1456491,Stay,Entire home/apt,416,1,0
314453,"Delicate Apartment, Dongzhimen Area",1455726,Fiona,Entire home/apt,396,1,353
317195,"Sweet Apartment, Embassy Area",1455726,Fiona,Entire home/apt,550,1,353
322292,Cozy studio in downtown Beijing,1456491,Stay,Entire home/apt,436,1,361
398784,1BD 1BTH Serviced Apt in Fulicheng,192875,East Apartments,Entire home/apt,859,1,365
445306,Apartment in the heart of Beijing,2212388,Betty,Entire home/apt,906,1,325
456641,High floor downtown studio  3,1456491,Stay,Entire home/apt,436,1,0
458561,Studio in downtown Beijing  5,1456491,Stay,Entire home/apt,483,1,361
491280,Cozy studio in center of Beijing  2,707535,Robert,Entire home/apt,376,1,290
498126,High floor downtown studio  4,1456491,Stay,Entire home/apt,416,2,0
537674,Quadrangle Courtyard  Siheyuan ,2562442,Chen,Private room,8898,1,360
554123,High floor downtown studio  5,1456491,Stay,Private room,416,1,361
627240,Culturally Inspired   City Center,3113849,Will,Private room,396,1,347
685820,Huaxia Sunshine Serviced Apt  A ,3488642,Chunyu,Entire home/apt,429,1,354
732687,IKEA Style Condo in Central Beijing,3814336,Mona,Entire home/apt,302,12,187
762579,3BR Luxury Apt in Downtown Beijing,2635399,Them,Entire home/apt,1060,2,157
824570,Huaxia Sunshine Serviced Apt  C ,3488642,Chunyu,Entire home/apt,409,1,355
829407,Gladys Garden   casual living,4346816,David,Private room,289,1,230
851984,Gladys Garden   casual living 2,4346816,David,Private room,262,2,339
855090,Gladys Garden   casual living 3,4346816,David,Private room,242,2,316
873692,The Great Wall Box House Twin Room Great Wall Eat Double Courthouse,527062,Joe,Private room,678,1,0
906434,Apartment with old Beijing flavor,4851361,Yan.,Entire home/apt,664,1,244
940126,The best place to live in Beijing ,4851361,Yan.,Private room,617,1,365
975146,Cozy Courtyard w  Private Bathroom ,5042487,Qun,Private room,490,1,175
1001527,High floor downtown studio  7,1456491,Stay,Entire home/apt,416,1,361
