id,name,host_id,host_name,room_type,price,minimum_nights,availability_365,,
44054,Modern and Comfortable Living in CBD,192875,East Apartments,39.89503,116.45163,Entire home/apt,792,1,341
100213,The Great Wall Box Deluxe Suite A团园长城小院东院套房,527062,Joe,40.68434,117.17231,Private room,1201,1,0
128496,Heart of Beijing: House with View 2,467520,Cindy,39.93213,116.422,Entire home/apt,389,3,93
161902,cozy studio in center of Beijing,707535,Robert,39.93357,116.43577,Entire home/apt,376,1,290
162144,"nice studio near subway, sleep 4 ",707535,Robert,39.93668,116.43798,Entire home/apt,537,1,352
279078,Nice Apartment in Beijing,1455726,Fiona,39.93958,116.43485,Entire home/apt,403,1,353
282825,Large 2 BR Apt in a great location,1466681,Florence,39.93712,116.45089,Entire home/apt,637,3,78
287026,Studio in downtown Beijing #2,1456491,Vera,39.94115,116.44122,Entire home/apt,416,1,106
287511,High-flr studio in downtown Beijing,1456491,Vera,39.94032,116.44227,Entire home/apt,416,1,0
314453,"Delicate Apartment, Dongzhimen Area",1455726,Fiona,39.93943,116.43362,Entire home/apt,396,1,353
317195,"Sweet Apartment, Embassy Area",1455726,Fiona,39.93946,116.43545,Entire home/apt,550,1,353
322292,Cozy studio in downtown Beijing,1456491,Vera,39.93849,116.44066,Entire home/apt,436,1,361
398784,1BD 1BTH Serviced Apt in Fulicheng,192875,East Apartments,39.89403,116.44896,Entire home/apt,859,1,365
445306,Apartment in the heart of Beijing,2212388,Betty,39.91342,116.41837,Entire home/apt,906,1,325
456641,High-floor downtown studio #3,1456491,Vera,39.93848,116.44248,Entire home/apt,436,1,0
458561,Studio in downtown Beijing #5,1456491,Vera,39.93967,116.44128,Entire home/apt,483,1,361
491280,Cozy studio in center of Beijing #2,707535,Robert,39.93516,116.43682,Entire home/apt,376,1,290
498126, High-floor downtown studio #4,1456491,Vera,39.94059,116.44175,Entire home/apt,416,2,0
537674,Quadrangle Courtyard ( Siheyuan),2562442,Chen,39.92412,116.37063,Private room,8898,1,360
554123,High-floor downtown studio #5,1456491,Vera,39.93879,116.4412,Private room,416,1,361
627240,Culturally Inspired @ City Center,3113849,Bo,39.94956,116.34887,Private room,396,1,347
685820,Huaxia Sunshine Serviced Apt (A),3488642,Chunyu,39.90133,116.48154,Entire home/apt,429,1,354
732687,IKEA-Style Condo in Central Beijing,3814336,Mona,39.85983,116.3892,Entire home/apt,302,12,187
762579,3BR Luxury Apt in Downtown Beijing,2635399,Jie,39.94612,116.34326,Entire home/apt,1060,2,157
824570,Huaxia Sunshine Serviced Apt (C),3488642,Chunyu,39.89854,116.48338,Entire home/apt,409,1,355
829407,Gladys Garden - casual living,4346816,David,39.939,116.39129,Private room,289,1,230
851984,Gladys Garden - casual living 2,4346816,David,39.93923,116.39094,Private room,262,2,339
855090,Gladys Garden - casual living 3,4346816,David,39.93946,116.39161,Private room,242,2,316
873692,The Great Wall Box House Twin Room 长城脚下双人庭院房,527062,Joe,40.68602,117.17304,Private room,678,1,0
906434,Apartment with old Beijing flavor,4851361,Yan,39.94632,116.39265,Entire home/apt,664,1,244
940126,The best place to live in Beijing! ,4851361,Yan,40.1044,116.54955,Private room,617,1,365
975146,Cozy Courtyard w/ Private Bathroom!,5042487,Qun,39.93994,116.42345,Private room,490,1,175
1001527,High-floor downtown studio #7,1456491,Vera,39.94012,116.43792,Entire home/apt,416,1,361
1087381,"Perfect Location, Cozy One Bedroom",1455726,Fiona,39.93795,116.43539,Entire home/apt,557,1,353
1115437,"Homy 2-Bedroom Apt A, Superhost, Great Location!",4093103,Ollie,39.90366,116.43564,Entire home/apt,705,1,352
1124875,"Great Room Renting in Wukesong, BJ.",2157107,Yi,39.92637,116.25927,Private room,154,2,174
1160338,East meets West CBD zen center,3752142,Ame,39.91731,116.45479,Entire home/apt,966,1,0
1160910,3 Rooms for Max 6 People! Courtyard,5042487,Qun,39.91901,116.41932,Private room,503,1,364
1165040,[Newyard PROMOTION]Former residence of Mei Lanfang,5042487,Qun,39.92155,116.42247,Private room,134,1,364
1165067,[w/breakfast]Dongsi Courtyard四合院独卫,5042487,Qun,39.9208,116.42047,Private room,510,1,364
1198579,Offer in Courtyard Room,6547841,Beijing Courtyard Hotel Sihe,39.92088,116.42236,Private room,597,1,365
1199365,"Cozy studio in BJ CBD, Ritan Park",291540,Cigdemchen,39.91924,116.44387,Entire home/apt,436,2,317
1237187,Large & Modern Apartment for Family Living in CBD,192875,East Apartments,39.89485,116.45172,Entire home/apt,859,1,355
1276777,Spacious apartment with 5 beds near CBD (38),192875,East Apartments,39.89504,116.45131,Entire home/apt,738,1,338
1285333,The closest  Wangjing 798 apartment,6993205,Xing,39.99381,116.49936,Private room,255,2,361
1302948,Beijing courtyard Hotel Deluxe RM,6547841,Beijing Courtyard Hotel Sihe,39.92062,116.42054,Private room,711,1,365
1303113,北京四合院宾馆家庭行政房Beijing Sihe Courtyard Hotel family RM,6547841,Beijing Courtyard Hotel Sihe,39.92051,116.42229,Private room,980,1,365
1303170,Beijing courtyard Hotel VIP RM,6547841,Beijing Courtyard Hotel Sihe,39.92104,116.42078,Private room,1154,1,365
1325945,798 Fresh style Bedroom with Study ,6993205,Xing,39.99212,116.4987,Private room,295,2,361
1370541,Beijing suburb excellent transport,7432149,冠廷,39.75601,116.2124,Private room,67,3,87
1484562,Near Beijing subway an apartment,4237084,Washa,39.92575,116.52235,Private room,127,1,295
1521874,Nature style 1 bedroom near CHAOYANG Park,7816614,Alyssa,39.94829,116.49684,Private room,168,2,329
1543047,Gladys Garden - casual living 4,4346816,David,39.93793,116.39264,Private room,282,2,271
1635589,望京宝星园出租一间卧室(限女生),4493874,Min,40.00121,116.4836,Private room,201,2,228
1642183,桑内的桃花屋,8562373,Sunny,39.92164,116.48291,Private room,503,1,290
1643534,Sunny & Cozy Apt in Beijing,7790897,Zhaohui & Shufang,39.88122,116.44044,Entire home/apt,376,2,336
1661849,Quadrangle Courtyard ( Siheyuan),2562442,Chen,39.92553,116.36991,Private room,758,1,270
